,KEGG,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
575,K13993,0.362,,,,2.5942,,,
576,K14060,0.52,,,,13.2925,,,
577,K14189,0.45899999999999996,,,,8.6754,,,
578,K14941,0.7040000000000001,,,,3.6966,,,
579,K15255,,,0.45399999999999996,,,,6.4767,
580,K15539,,,,0.677,,,,4.9438
581,K15553,0.65,,,,5.662,,,
582,K15633,0.6097055624993817,,,,14.9821,,,
583,K15724,0.556,,,,7.1419,,,
584,K16079,0.602,,,0.5589999999999999,3.7882,,,3.4453
585,K16147,0.6194346754527057,,,,17.4557,,,
586,K16171,0.6579999999999999,,,,2.4815,,,
587,K16267,0.628,,,,3.4112,,,
588,K16652,0.757,,,,5.6236,,,
589,K17103,0.6755474604272097,,,,7.826600000000001,,,
590,K17223,0.598,,,,5.8188,,,
591,K17226,0.622,,,,3.8766,,,
592,K17227,0.575,,,,6.1915,,,
593,K17247,0.583,,,,1.4245,,,
594,K17947,0.682,,,,5.2813,,,
595,K18290,0.615,,,,4.4211,,,
596,K18320,0.6069372576632641,,,,16.891199999999998,,,
597,K18333,0.575,,,,2.6345,,,
598,K18453,0.596,,,,3.4977,,,
599,K18588,0.594,,,,4.9955,,,
600,K18778,0.679,,,,2.6838,,,
601,K19055,0.617,,,,2.1395,,,
602,K19170,0.5710000000000001,,,,3.3454,,,
603,K19304,0.635,,,,2.2518,,,
604,K19745,0.623,,,,3.6958,,,
605,K19784,0.5870000000000001,,,,5.2987,,,
606,K20523,0.60011941152992,,,,7.8978,,,
607,K20950,0.5710000000000001,,,,2.9523,,,
608,K21014,0.579,,,,3.4988,,,
609,K21395,0.578,,,,9.0903,,,
610,K21420,0.609,,,,6.7962,,,
611,K21470,0.625,,,,5.3901,,,
612,K21472,0.688,,,,5.0085,,,
613,K21695,0.611,,,,4.1219,,,
614,K21929,0.599,,,,3.4431,,,
615,K22025,0.634,,,,4.2259,,,
616,K22278,0.575,,,,4.3346,,,
617,K22300,,,,0.5924920932690201,,,,27.7047
618,K22302,0.6,,,,14.5437,,,
619,K22348,0.502,,,,3.2003,,,
620,K22479,0.5660000000000001,,,,13.0928,,,
621,K22491,0.6529999999999999,,,,4.4307,,,
622,K22736,0.5624191298978771,,,,7.866999999999999,,,
623,K22737,0.595,,,,2.68,,,
624,K23264,0.5687653538097429,,,,8.2015,,,
625,K23356,,,,0.61,,,,4.0521
626,K23393,0.68,,,,2.7406,,,
627,K23541,0.61,,,,4.8359,,,
628,K23775,0.579,,,,2.3671,,,
629,K24158,0.643,,,,29.6431,,,
