,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Riboviria,GC_adj Varidnaviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Riboviria,gene_counts Varidnaviria,gene_counts unclassified viruses,gene_countsUnclassified
385,K01486,,,0.71,,,,,,,,16.8039,,,,,
386,K01489,,,0.6890049594195711,,,,,,,,129.6198,,,,,
387,K01491,,,0.682,,,,,,,,7.9827,,,,,
388,K01493,,,0.525,,,,,,,,3.7483,,,,,
389,K01494,,,0.6488678563488298,,,,,,,,128.4736,,,,,
390,K01495,,0.38,0.6525094030451999,,,,,,,3.3905,124.09310000000004,,,,,
391,K01496,,,0.6519163797766122,,,,,,,,14.3704,,,,,
392,K01497,,,0.6712210917538577,,,,,,,,184.05140000000003,,,,,
393,K01507,,0.6277069897363211,0.6365992870262236,,,,,,,17.9443,124.2978,,,,,
394,K01512,,,0.6806441873679826,,,,,,,,64.8524,,,,,
395,K01515,,,0.7240000000000001,,,,,,,,6.7141,,,,,
396,K01518,,,0.631,,,,,0.602,,,4.6688,,,,,4.8067
397,K01520,,,0.7072746762732227,,,0.603,,,,,50.6283,,,4.6721,,
398,K01523,,,0.6528792402476475,,,,,,,,23.942700000000002,,,,,
399,K01524,,,0.7124980379870282,,,,,,,,81.11739999999999,,,,,
400,K01525,,,0.652,,,,,,,,6.1743,,,,,
401,K01531,,,0.5870000000000001,,,,,,,,4.2219,,,,,
402,K01545,,,0.613,,,,,0.6959574236021683,,,3.4167,,,,,14.226700000000001
403,K01546,,,0.6479429980957534,,,,,,,,53.162200000000006,,,,,
404,K01548,,,0.700347818894719,,,,,,,,56.39640000000001,,,,,
405,K01551,,,0.6945327794654099,,,,,,,,157.52570000000003,,,,,
406,K01555,,,0.6591726257262229,,,,,,,,69.72290000000001,,,,,
407,K01556,,,0.6759427552384557,,,,,,,,33.1132,,,,,
408,K01560,,,0.640008776643556,,,,,,,,46.147999999999996,,,,,
409,K01561,,,0.6663349691634441,,,,,,,,62.1243,,,,,
410,K01569,,,0.6566440320923675,,,,,,,,17.7168,,,,,
411,K01574,,,0.6400102472616341,,,,,,,,23.0497,,,,,
412,K01575,,,0.6600072826209779,,,,,,,,15.7209,,,,,
413,K01579,,,0.6645490475189002,,,,,,,,41.890499999999996,,,,,
414,K01581,,,0.67,,,,,,,,9.8749,,,,,
415,K01586,,,0.6326211981999699,,,,,,,,11.7692,,,,,
416,K01588,,,0.6730515311021635,,,,,0.754,,,71.1169,,,,,8.9172
417,K01589,,,0.603,,,,,,,,4.0862,,,,,
418,K01591,,,0.6316961130283959,,,,,,,,11.358,,,,,
419,K01595,,,0.6650141189819351,,,,,0.655,,,142.56929999999997,,,,,4.445
420,K01596,,,0.6595386453040686,,,,,,,,62.743300000000005,,,,,
421,K01599,,,0.6986152284225652,,,,,,,,21.064300000000003,,,,,
422,K01602,,,0.6267536629018339,,,,,,,,9.4704,,,,,
423,K01607,,,0.6426632470917332,,,,,0.7037518606390845,,,364.6513,,,,,25.1198
424,K01609,,,0.7509999999999999,,,,,,,,6.6434,,,,,
425,K01610,,0.378,0.6235864197553994,,,,,,,5.9388,217.1147,,,,,
426,K01611,,,0.6222178576853057,,,,,,,,23.4275,,,,,
427,K01613,,,0.6466513524760644,,,,,,,,21.311999999999998,,,,,
428,K01619,,0.542,0.694372678721093,,,,,,,3.5277,188.4429,,,,,
429,K01620,,,0.6784874538782824,,,,,,,,177.74480000000005,,,,,
430,K01621,,,0.639182773137153,,,,,,,,492.0679999999999,,,,,
431,K01623,,,0.6435205164059179,,,,,,,,180.47150000000008,,,,,
432,K01624,,,0.6667548393878603,,,,,,,,103.92490000000001,,,,,
433,K01625,,,0.7319999999999999,,,,,,,,2.9064,,,,,
434,K01626,,,0.6934404653379751,,,,,,,,200.25639999999999,,,,,
435,K01627,,,0.6035416614978019,,,,,,,,46.5492,,,,,
436,K01633,,,0.6951584587993073,,,,,0.688,,,51.912099999999995,,,,,3.8068
437,K01634,,,0.695,,,,,,,,8.3015,,,,,
438,K01637,,,0.6729307316140873,,,,,,,,153.86430000000001,,,,,
439,K01638,,,0.6624505094219857,,,,,,,,214.20559999999995,,,,,
440,K01640,,,0.6994274781747847,,,,,,,,56.539699999999996,,,,,
441,K01641,,0.385,,,,,,,,3.1342,,,,,,
442,K01644,,,0.6919542339451734,,,,,,,,27.454900000000002,,,,,
443,K01652,,,0.747,,,,,,,,22.4354,,,,,
444,K01653,,,0.6561144448517643,,,,,,,,153.32359999999997,,,,,
445,K01658,,,0.6653148617919494,,,,,,,,37.3577,,,,,
446,K01661,,,0.7040000000000001,,,,,,,,12.2465,,,,,
447,K01662,,,0.6258812166505584,,,,,,,,38.4197,,,,,
448,K01664,,,0.6459999999999999,,,,,,,,6.0983,,,,,
449,K01666,,,0.6988662705108725,,,,,,,,29.1817,,,,,
450,K01673,,,0.6230157022319494,,,,,,,,96.88159999999999,,,,,
451,K01679,,,0.701,,,,,,,,9.239,,,,,
452,K01686,,,0.608882453831421,,,,,,,,8.2087,,,,,
453,K01689,,,0.6669487262629811,,,,,,,,398.8855,,,,,
454,K01692,,,0.651106083346408,,,,,,,,42.5319,,,,,
455,K01693,,,0.675,,,,,,,,11.3384,,,,,
456,K01695,,0.303,0.6839306384879162,,,,,,,3.8894,103.00839999999998,,,,,
457,K01698,,,0.6813492444285346,0.539,,,,,,,226.7945,2.8395,,,,
458,K01703,,,0.702,,,,,,,,12.0942,,,,,
459,K01704,,,0.6398930644021633,,,,,,,,69.5374,,,,,
460,K01707,,,0.5108609273088625,,,,,,,,5.9311,,,,,
461,K01709,,,0.6629999999999999,,,,,,,,4.3886,,,,,
462,K01711,,0.647,0.5990823379058743,,,,,,,9.1358,46.282199999999996,,,,,
463,K01712,,,0.6369752716056721,,,,,,,,18.9904,,,,,
464,K01713,,,0.601,,,,,,,,3.8941,,,,,
465,K01714,,,0.6809999999999999,,,,,,,,7.918,,,,,
466,K01716,,,0.614,,,,,,,,6.4323,,,,,
467,K01719,,,0.6651593945647228,,,,,0.7215265119825486,,,70.39880000000001,,,,,18.0053
468,K01721,,,0.6760333060581658,,,,,,,,17.7594,,,,,
469,K01724,,,0.6416245023349055,,,,,,,,212.82139999999998,,,,,
470,K01725,,,0.607,,,,,,,,15.8129,,,,,
471,K01726,,,0.6018282989826818,,,,,,,,17.397100000000002,,,,,
472,K01728,,,0.579,,,,,,,,3.098,,,,,
473,K01729,,,0.6092738390790615,,,,,0.62,,,20.0872,,,,,4.2902
474,K01730,,,0.5359125900497935,,,,,,,,8.9597,,,,,
475,K01733,,,0.6011595554727802,,,,,,,,45.576,,,,,
476,K01735,,,0.6779999999999999,,,,,,,,4.3469,,,,,
477,K01736,,,0.6632109847048734,,,,,,,,58.1302,,,,,
478,K01737,,0.336,0.6305327136849513,,,,,0.6930000000000001,,3.3358,149.6354,,,,,15.3432
479,K01745,,,0.6890000000000002,,,,,,,,12.2145,,,,,
480,K01749,,,0.6821969545289946,,,,,,,,110.95309999999999,,,,,
481,K01752,,,0.6073839209021002,,,,,,,,99.44290000000001,,,,,
482,K01754,,0.37799999999999995,0.666699469456507,,,,,,,2.995,30.0436,,,,,
483,K01755,,,0.6881005029222,,,,,,,,162.2611,,,,,
484,K01756,,,0.6400902716554139,,,,,,,,16.1767,,,,,
485,K01759,,,0.6304671096752871,,,,,,,,87.7704,,,,,
486,K01768,,,0.6606754586921997,,,,,,,,150.4018,,,,,
487,K01772,,,0.6731822229063812,,,,,,,,115.98489999999998,,,,,
488,K01775,,,0.6948513254362381,,,,,,,,122.57570000000001,,,,,
489,K01776,,,0.6735671626343331,,,,,,,,141.2176,,,,,
490,K01778,,,0.6575601077713361,,,,,,,,142.43399999999997,,,,,
491,K01779,,,0.5608295426852875,,,,,,,,33.35850000000001,,,,,
492,K01781,,,0.637,,,,,,,,5.0677,,,,,
493,K01783,,,0.5919293463310619,,,,,,,,12.4229,,,,,
494,K01784,,,0.598,,,,,,,,4.301,,,,,
495,K01785,,,0.6558576459598794,,,,,,,,126.02069999999999,,,,,
496,K01790,,,0.6576010847283551,,,,,,,,14.225100000000001,,,,,
497,K01792,,,0.67,,,,,,,,3.9394,,,,,
498,K01796,,,0.715,,,,,,,,18.8867,,,,,
499,K01799,,,0.667680533318626,,,,,0.688,,,124.37740000000001,,,,,9.2792
500,K01800,,,0.6083229972253066,,,,,,,,23.311600000000002,,,,,
501,K01802,,,0.675,,,,,,,,10.3195,,,,,
502,K01803,,,0.6517423857274549,,,,,,,,131.1893,,,,,
503,K01804,,,0.7390000000000001,,,,,,,,5.6346,,,,,
504,K01805,,,0.6898296467312539,,,,,,,,51.865100000000005,,,,,
505,K01807,,0.319,0.6948615149759242,,,,,,,2.1256,26.6413,,,,,
506,K01808,,,0.5734396356779908,,,,,,,,36.8763,,,,,
507,K01809,,,0.6120417090111618,,,,,,,,39.9291,,,,,
508,K01810,,,0.6091538074216836,,,,,,,,250.5198,,,,,
509,K01811,,,0.542,,,,,,,,14.0563,,,,,
510,K01815,,,0.617,,,,,,,,2.1836,,,,,
511,K01816,0.565,,0.6885949924703733,,,,,,2.1256,,33.1764,,,,,
512,K01817,,,0.7086147497285612,,,,,,,,15.282200000000001,,,,,
513,K01820,,,0.701,,,,,,,,10.3969,,,,,
514,K01821,,,0.6573431300228008,,,,,0.579,,,38.571799999999996,,,,,7.3441
515,K01822,,,0.7063148629481827,,,,,0.512,,,10.3026,,,,,8.7829
516,K01823,,,0.584,,,,,,,,3.7283,,,,,
517,K01826,,,0.386,,,,,,,,3.803,,,,,
518,K01834,,,0.6696166043776868,,,,,,,,45.1114,,,,,
519,K01839,,,0.6912250153877224,,,,,,,,107.35750000000002,,,,,
520,K01843,,,0.56,,,,,,,,9.5548,,,,,
521,K01845,,,0.6890123666281669,,,,,,,,40.885099999999994,,,,,
522,K01849,,,0.6785440505403632,,,,,,,,32.798100000000005,,,,,
523,K01854,,,0.5810148884699793,,,,,,,,27.1529,,,,,
524,K01858,,,0.622300921068121,,,,,,,,153.2256,,,,,
525,K01865,,,0.5579999999999999,,,,,,,,3.1404,,,,,
526,K01866,,,0.645284590796736,,,,,,,,236.34760000000003,,,,,
527,K01867,,,0.6460556866931323,,,,,,,,181.89400000000003,,,,,
528,K01868,,,0.6530940719365824,,,,,,,,392.8067,,,,,
529,K01869,,,0.6105009235225265,,,,,,,,13.453800000000001,,,,,
530,K01872,,,0.6624758752980129,,,,,,,,206.6805,,,,,
531,K01874,,,0.6670680771813106,,,,,,,,112.18750000000001,,,,,
532,K01875,,,0.6582117344302911,,,,,,,,253.68399999999994,,,,,
533,K01876,,,0.6617341850188261,,,,,,,,36.014700000000005,,,,,
534,K01880,,,0.6191393523703741,,,,,,,,31.9901,,,,,
535,K01881,,0.366,0.6490903711296327,,,,,,,3.1285,164.06429999999997,,,,,
536,K01883,,,0.6789687365940651,,,,,,,,33.532799999999995,,,,,
537,K01884,,,0.637,,,,,,,,3.3582,,,,,
538,K01885,,,0.6579797171566804,,,,,,,,15.0184,,,,,
539,K01886,,,0.626,,,,,,,,11.2795,,,,,
540,K01887,,,0.6579956742426336,,,,,,,,191.42529999999996,,,,,
541,K01889,,0.302,0.6711505485027198,,,,,,,4.3976,152.4269,,,,,
542,K01890,,,0.6542999617627736,,,,,,,,105.4409,,,,,
543,K01897,,,0.6859999999999999,,,,,,,,6.3824,,,,,
544,K01902,,,0.6425507163122279,,,,,,,,20.8395,,,,,
545,K01904,,,0.6859999999999999,,,,,,,,6.3824,,,,,
546,K01912,,,0.7015071027126637,,,,,,,,140.2748,,,,,
547,K01915,,0.5699230657384695,0.6569707028821609,,,,,0.693,,23.3921,1274.0416000000007,,,,,8.2536
548,K01918,,,0.6827737249280649,,,,,,,,122.4571,,,,,
549,K01919,,,0.6373176578408812,,,,,,,,54.78340000000001,,,,,
550,K01920,,,0.6208433372727301,,,,,,,,40.57679999999999,,,,,
551,K01921,,,0.6833745833635655,,,,,,,,152.29190000000003,,,,,
552,K01923,,0.348,0.6213765966654567,,,,,,,2.8473,118.25750000000001,,,,,
553,K01925,,,0.6679999999999999,,,,,,,,6.5601,,,,,
554,K01926,,,0.6798888787916328,,,,,,,,139.4324,,,,,
555,K01929,,,0.6056737786865934,,,,,,,,17.880499999999998,,,,,
556,K01933,0.626,,0.6693274459951956,,,,,,2.9966,,114.73039999999999,,,,,
557,K01934,,0.284,0.688461070441941,,,,,0.715,,2.0963,73.2411,,,,,4.1484
558,K01935,,,0.63054941030117,,,,,,,,13.6723,,,,,
559,K01937,,0.343,0.6639526790738721,,,,,,,4.1264,523.371,,,,,
560,K01939,,,0.6646503503806765,,,,,,,,242.6788,,,,,
561,K01940,,0.321,0.6712132374365692,,,,,,,3.1614,245.3285,,,,,
562,K01945,,,0.6634703565175945,0.546,,,,,,,70.6498,4.3691,,,,
563,K01951,,0.34774369506062164,0.6672207082658452,,,,,,,8.7559,371.9021999999999,,,,,
564,K01953,,,0.6421107239418105,,,,,,,,223.58669999999995,,,,,
565,K01956,,,0.555,,,,,,,,6.5538,,,,,
566,K01963,,,0.6000498603826641,,,,,,,,16.2837,,,,,
567,K01971,,,0.6526521675845024,,,,,,,,130.96729999999997,,,,,
568,K01972,,,0.6708842369625825,,,,,,,,442.1104,,,,,
569,K01975,,,0.6619059643528522,,,,,,,,45.7318,,,,,
570,K01989,,,0.641161282500567,,,,,,,,50.7819,,,,,
571,K01990,,,0.6789828593557224,,,,,,,,172.21329999999998,,,,,
572,K01991,,,0.5920155977377024,,,,,0.5653376754922947,,,24.8603,,,,,15.729700000000001
573,K01992,,,0.6036700146804512,,,,,,,,124.22280000000002,,,,,
574,K01994,,,0.615,,,,,,,,12.3242,,,,,
575,K01995,,,0.6602650252102037,,,,,,,,14.587700000000002,,,,,
576,K01996,,,0.6366644755377465,,,,,,,,40.9037,,,,,
577,K01997,,,0.6474993757327718,,,,,0.5710000000000001,,,422.86819999999994,,,,,6.5209
578,K01998,,,0.6381992642785129,,,,,,,,48.45869999999999,,,,,
579,K01999,,,0.6241074579437694,,,,,,,,90.75659999999999,,,,,
580,K02001,,,0.6729999999999999,,,,,,,,5.8285,,,,,
581,K02003,,0.623,0.6439053662258368,,,,,,,6.2024,41.6636,,,,,
582,K02004,,,0.6521456901268918,0.604,,,,0.6776199443342924,,,1888.9549999999995,3.2014,,,,32.8215
583,K02005,,,0.711,,,,,,,,5.8746,,,,,
584,K02006,,,0.6679999999999999,,,,,,,,5.34,,,,,
585,K02007,,,0.735702602453691,,,,,,,,21.189799999999998,,,,,
586,K02008,,,0.7408114016930991,,,,,,,,12.1037,,,,,
587,K02011,,,0.615,,,,,,,,5.1229,,,,,
588,K02012,,,0.6329080255631755,,,,,,,,25.404600000000002,,,,,
589,K02014,,,0.591,,,,,,,,7.0437,,,,,
590,K02015,,,0.6911204220339433,,,,,,,,68.19649999999999,,,,,
591,K02016,,,0.7284663523376106,,,,,,,,14.602800000000002,,,,,
592,K02018,,,0.6898456218771105,,,,,,,,12.2608,,,,,
593,K02019,,,0.6604053092236085,,,,,,,,9.3519,,,,,
594,K02020,,,0.6298933627784282,,,,,,,,56.4302,,,,,
595,K02025,,,0.6203535109929328,,,,,,,,16.282,,,,,
596,K02026,,,0.61293502104098,,,,,,,,43.441,,,,,
597,K02027,,,0.6242809329921254,,,,,,,,36.7189,,,,,
598,K02029,,,0.6505977989944985,,,,,,,,20.6903,,,,,
599,K02030,,,0.6662448982046288,,,,,,,,91.02080000000002,,,,,
600,K02031,,,0.684,,,,,,,,13.3031,,,,,
601,K02033,,,0.6542310464046007,,,,,,,,250.01350000000005,,,,,
602,K02034,,,0.6743413644741645,,,,,,,,366.9958,,,,,
603,K02035,,,0.643992519346049,,,,,,,,34.551500000000004,,,,,
604,K02036,,,0.6253123807375081,,,,,,,,98.416,,,,,
605,K02037,,,0.67,,,,,,,,9.9565,,,,,
606,K02038,,,0.6186051548736444,,,,,,,,21.587699999999998,,,,,
607,K02039,,,0.6368815648376426,,,,,,,,98.84210000000002,,,,,
608,K02040,,,0.635590475550251,,,,,0.6030000000000001,,,201.96859999999998,,,,,5.8322
609,K02041,,,0.648,,,,,,,,7.1276,,,,,
610,K02042,,,0.6309687727758965,,,,,,,,22.134800000000002,,,,,
611,K02044,,,0.5968089941475563,,,,,,,,40.6151,,,,,
612,K02046,,,0.6907575082248442,,,,,,,,17.5537,,,,,
613,K02047,,,0.6728936485778233,,,,,,,,31.6085,,,,,
614,K02049,,,0.6459999999999999,,,,,,,,7.6286,,,,,
615,K02050,,,0.6306104778931201,,,,,,,,293.7908,,,,,
616,K02051,,,0.6357193693841179,,,,,,,,152.82760000000002,,,,,
617,K02058,,,0.610907198452289,,,,,,,,13.5471,,,,,
618,K02064,,,0.632,,,,,,,,3.2569,,,,,
619,K02065,,,0.5820000000000001,,,,,,,,2.7564,,,,,
620,K02066,,,0.6325912522943259,,,,,,,,192.57019999999994,,,,,
621,K02067,,,0.6400649831571298,,,,,0.596,,,77.6467,,,,,4.2851
622,K02069,,,0.6952870260440931,,,,,,,,17.5083,,,,,
623,K02074,,,0.68,,,,,,,,7.1332,,,,,
624,K02075,,,0.648,,,,,,,,7.1332,,,,,
625,K02078,,,0.6085695268554417,,,,,0.6385135993255612,,,257.30809999999997,,,,,64.05290000000001
626,K02106,,,0.5710000000000001,,,,,,,,4.4885,,,,,
627,K02108,,,0.5770412741922561,,,,,,,,66.0882,,,,,
628,K02109,,,0.6710792851144799,,,,,0.7134812811696175,,,77.303,,,,,11.841
629,K02110,,,0.680401523634336,,,,,0.6842594008641171,,,23.7991,,,,,18.0994
630,K02111,,,0.6296355774890243,,,,,,,,52.7204,,,,,
631,K02113,,,0.6486043697288436,,,,,0.6776790811931102,,,143.78709999999998,,,,,28.1164
632,K02114,,,0.6624442098353931,,,,,,,,101.2208,,,,,
633,K02116,,,0.6442562175633387,,,,,0.574,,,33.5139,,,,,4.5686
634,K02122,,0.378,,,,,,,,3.1905,,,,,,
635,K02128,0.3304813738064514,,,0.324,,,,,10.584,,,9.541,,,,
636,K02160,,,0.6428354242392077,,,,,,,,61.5248,,,,,
637,K02167,,,0.659,,,,,,,,4.9962,,,,,
638,K02171,,,0.550795984135209,,,,,,,,41.856500000000004,,,,,
639,K02172,,,0.531,,,,,,,,3.664,,,,,
640,K02188,,,0.6924079361782396,,,,,,,,13.1902,,,,,
641,K02192,,,0.635,,,,,,,,3.4609,,,,,
642,K02193,,,0.6034380108605238,,,,,,,,18.7273,,,,,
643,K02194,,,0.6600541682404372,,,,,0.746859588517145,,,108.2374,,,,,18.467100000000002
644,K02195,,,0.6550377902026528,,,,,,,,131.1064,,,,,
645,K02196,,,0.617,,,,,,,,8.2138,,,,,
646,K02197,,,0.6618778506934586,,,,,,,,64.988,,,,,
647,K02199,,,0.6745305946382751,,,,,0.68,,,118.7153,,,,,3.1517
648,K02200,,,0.6479759819645804,,,,,0.7085588455091469,,,45.722699999999996,,,,,17.4263
649,K02204,,,0.6286395920080025,,,,,,,,22.1648,,,,,
650,K02217,,0.34,,,,,,,,4.4852,,,,,,
651,K02221,,,0.6079704249551632,,,,,0.6453477494373917,,,89.7214,,,,,12.878499999999999
652,K02224,,,0.6864299040682703,,,,,,,,28.1764,,,,,
653,K02226,,,0.7221698451384679,,,,,,,,8.9688,,,,,
654,K02227,,,0.6583757040260255,,,,,,,,7.7212,,,,,
655,K02231,,,0.7052383157353714,,,,,,,,20.3871,,,,,
656,K02232,,,0.6543485516749902,,,,,,,,15.5225,,,,,
657,K02233,,0.353,0.6961524113331505,,,,,,,2.9194,6.851,,,,,
658,K02237,,,0.7034479037091821,,,,,0.774,,,38.0269,,,,,2.6295
659,K02238,,,0.6922326403156668,,,,,0.718,,,141.14920000000004,,,,,7.0149
660,K02242,,,0.6720149413800269,,,,,,,,25.4195,,,,,
661,K02257,,,0.693217130718523,,,,,,,,115.38010000000001,,,,,
662,K02258,,,0.6053090093613717,,,,,,,,24.4042,,,,,
663,K02259,,,0.6945202844365175,,,,,,,,100.7951,,,,,
664,K02275,,,0.6734440089378557,,,,,,,,44.2679,,,,,
665,K02276,,,0.6171880568451197,0.289,,,,,,,41.384,8.6183,,,,
666,K02277,,,0.5571698419844098,,,,,,,,61.6305,,,,,
667,K02278,,,0.5479999999999999,,,,,,,,4.2072,,,,,
668,K02279,,,0.6475128670410114,,,,,0.6677240685537283,,,61.0928,,,,,28.333000000000002
669,K02280,,,0.5735600887208547,,,,,,,,17.4212,,,,,
670,K02281,,,0.597,,,,,,,,4.7885,,,,,
671,K02282,,,0.6680339124886429,,,,,,,,28.785000000000004,,,,,
672,K02283,,,0.6864800697920844,,,,,,,,118.68650000000001,,,,,
673,K02294,,,0.52,,,,,,,,2.0878,,,,,
674,K02300,,,0.6155712843295638,,,,,,,,10.5907,,,,,
675,K02303,,,0.6920000000000001,,,,,,,,6.5533,,,,,
676,K02304,,,0.7047352715391945,,,,,,,,31.8975,,,,,
677,K02313,,,0.6212254520571155,,,,,,,,335.2192999999999,,,,,
678,K02314,,,0.6523097565016293,,,,,,,,338.6789000000001,,,,,
679,K02316,,,0.6677271906557641,,,,,,,,301.6957,,,,,
680,K02334,,,0.6050000000000001,,,,,,,,2.732,,,,,
681,K02335,,,0.682,,,,,,,,9.9748,,,,,
682,K02337,,,0.6609999999999999,,,,,,,,11.33,,,,,
683,K02338,,,0.6462335725407108,,,,,0.7290892339652923,,,287.39549999999997,,,,,27.8359
684,K02339,,,0.6384278394757947,,,,,,,,15.734499999999999,,,,,
685,K02340,,,0.6639820141969173,,,,,0.7509999999999999,,,28.8078,,,,,10.0081
686,K02341,,,0.7390000000000001,,,,,,,,16.2526,,,,,
687,K02342,,,0.662009270681153,,,,,,,,99.9354,,,,,
688,K02343,,,0.6525152967827708,,,,,,,,81.44510000000001,,,,,
689,K02346,,,0.6843594773232893,,,,,,,,21.3546,,,,,
690,K02347,,,0.6729999999999999,,,,,,,,15.5337,,,,,
691,K02348,,,0.655,,,,,,,,5.4411,,,,,
692,K02351,,,0.6694134370076448,,,,,,,,14.6303,,,,,
693,K02355,,,0.679,,,,,,,,29.6836,,,,,
694,K02356,,,0.6429344208994686,,,,,,,,185.23050000000003,,,,,
695,K02357,,,0.6347983400211575,,,,,,,,102.6207,,,,,
696,K02358,,,0.639,,,,,,,,24.3863,,,,,
697,K02362,,,0.6292882803137861,,,,,,,,7.5165999999999995,,,,,
698,K02372,,,0.6415009358348649,,,,,0.5329999999999999,,,87.11060000000002,,,,,3.6146
699,K02377,,,0.6033392233988473,,,,,,,,38.86130000000001,,,,,
700,K02379,,,0.6316971340085423,,,,,,,,16.0066,,,,,
701,K02380,,,0.732,,,,,,,,5.0412,,,,,
702,K02388,,,0.6317687113158615,,,,,,,,5.9766,,,,,
703,K02389,,,,,,,,0.5945158381587128,,,,,,,,5.8469999999999995
704,K02393,,,0.7,,,,,,,,1.9318,,,,,
705,K02394,,,0.684,,,,,,,,8.4084,,,,,
706,K02395,,,0.655,,,,,,,,2.2063,,,,,
707,K02398,,,,,,,,0.5863243199908403,,,,,,,,5.095700000000001
708,K02405,,,0.6803896257691466,,,,,,,,57.922900000000006,,,,,
709,K02406,,,0.6729999999999999,,,,,,,,5.7351,,,,,
710,K02408,,,0.623,,,,,,,,3.775,,,,,
711,K02409,,,0.6709999999999999,,,,,,,,9.5072,,,,,
712,K02410,,,0.5820863675807123,,,,,,,,7.222899999999999,,,,,
713,K02411,,,,,,,,0.609,,,,,,,,3.4574
714,K02414,,,0.6433816945677872,,,,,,,,13.812700000000001,,,,,
715,K02416,,,0.6311828416282702,,,,,,,,14.0546,,,,,
716,K02417,,,0.6513190810971882,,,,,,,,11.1341,,,,,
717,K02418,,,0.7064485733526032,,,,,0.634,,,13.7927,,,,,2.694
718,K02419,,,0.602,,,,,,,,8.6465,,,,,
719,K02420,,,0.609,,,,,,,,3.775,,,,,
720,K02426,,,0.696108918288294,,,,,,,,20.0885,,,,,
721,K02428,,,0.6166867234871276,,,,,,,,15.133299999999998,,,,,
722,K02429,,,0.5999482281154526,,,,,,,,19.5823,,,,,
723,K02434,,,0.695,,,,,,,,8.0479,,,,,
724,K02435,,,0.6485137446718227,,,,,,,,60.0989,,,,,
725,K02437,,0.318,0.6380290992903673,,,,,,,3.8098,179.47009999999997,,,,,
726,K02443,,,0.56,,,,,,,,2.8435,,,,,
727,K02448,,,0.5531870263352064,,,,,,,,18.2887,,,,,
728,K02456,,,0.6570935494359091,,,,,,,,22.4388,,,,,
729,K02457,,,0.653,,,,,,,,4.5307,,,,,
730,K02458,,,,,,,,0.512,,,,,,,,3.072
731,K02460,,,0.6330860283939538,,,,,0.53,,,5.3747,,,,,3.765
732,K02463,,,0.667,,,,,,,,5.619,,,,,
733,K02477,,,0.49988581126988857,,,,,,,,7.6266,,,,,
734,K02480,,,0.6940000000000001,,,,,,,,3.9681,,,,,
735,K02482,,,0.544,,,,,,,,4.1662,,,,,
736,K02483,,,0.6741836575888566,,,,,,,,128.92889999999997,,,,,
737,K02492,,,0.6729463311206363,,,,,0.764,,,192.96620000000004,,,,,8.0558
738,K02493,,,0.67,,,,,,,,7.7268,,,,,
739,K02496,,,0.688,,,,,0.569,,,7.8342,,,,,2.8097
740,K02498,,,0.6968671914056076,,,,,,,,12.9895,,,,,
741,K02500,,,0.666500888782641,,,,,,,,32.8749,,,,,
742,K02501,,,0.6588848747694642,,,,,,,,15.237100000000002,,,,,
743,K02502,,,0.662,,,,,,,,5.4662,,,,,
744,K02503,,0.324,0.6338878961505351,,,,,,,2.9635,97.93,,,,,
745,K02510,,,0.676332954430623,,,,,0.713,,,52.512699999999995,,,,,2.2611
746,K02517,,,0.5896791030696322,,,,,,,,12.804300000000001,,,,,
747,K02518,,,0.5865817297624699,,,,,,,,246.40269999999995,,,,,
748,K02519,,,0.6724022857926819,,,,,,,,99.2166,,,,,
749,K02520,,,0.623634992442181,,,,,,,,277.4456,,,,,
750,K02526,,,0.682,,,,,,,,6.5305,,,,,
751,K02527,,,0.6155625347396594,,,,,,,,34.3255,,,,,
752,K02528,,,0.616,,,,,,,,3.6595,,,,,
753,K02529,,,0.6814333862957793,,,,,,,,27.936999999999998,,,,,
754,K02533,,,0.6679999999999999,,,,,,,,7.6743,,,,,
755,K02536,,,0.6158803452073838,,,,,,,,35.679899999999996,,,,,
756,K02548,,,0.675,,,,,,,,9.2713,,,,,
757,K02549,,,0.499,,,,,,,,3.8757,,,,,
758,K02556,,,0.6769634678235082,,,,,,,,6.2898,,,,,
759,K02557,,,0.645,,,,,,,,8.8813,,,,,
760,K02558,,,0.535,,,,,,,,13.3057,,,,,
761,K02563,,,0.7221636840925632,,,,,,,,39.0269,,,,,
762,K02568,,,0.626,,,,,,,,2.7748,,,,,
763,K02570,,,,,,,,0.6890000000000001,,,,,,,,4.7846
764,K02575,,,0.5870000000000001,,,,,,,,8.1963,,,,,
765,K02600,,,0.6661004813564891,,,,,,,,502.4903000000001,,,,,
766,K02601,,,0.6375826325614065,,,,,,,,166.8207,,,,,
767,K02609,,,0.6595583414685136,,,,,,,,76.0915,,,,,
768,K02610,,,0.6856130305995339,,,,,,,,13.577200000000001,,,,,
769,K02611,,,0.7134090255186768,,,,,,,,16.1532,,,,,
770,K02612,,,0.7213960813050395,,,,,,,,15.7713,,,,,
771,K02614,,,0.6819670798052986,,,,,,,,20.4609,,,,,
772,K02616,,,0.6996194479285165,,,,,0.69,,,30.252799999999997,,,,,6.785
773,K02624,,,0.7034255218898189,,,,,,,,25.0541,,,,,
774,K02626,,,0.6467866300768003,,,,,,,,9.1537,,,,,
